;eartag;lp;plot;date;year_time;time;trap;station;species;PIT_tag;Sex;Body_mass;reproductive_state;open;recapture;Openfield_number;latency;Cross;zones.old;zones.new;manipulator;struggle_no;bag_struggle;watched;Struggle2..1.5.;X;yearText;BLUP_B
1188;413;1557;debowa;08.sie.20;2020;AM;A10;A10-debowa;APF;NA;M;35;S;NA;R;1;7;22;;NA;MZ;1;47;MZ;NA;;2020;0,26824836
1189;413;1725;debowa;11.sie.20;2020;AM;A10;A10-debowa;APF;NA;M;35;S;NA;R;2;0;25;NA;NA;AW;2;50;AW;NA;;2020;0,26824836
1190;414;586;wally;06.lip.20;2020;AM;C6;C6-wally;APF;9,68E+14;F;33;P;NO;NEW;1;0;24;NA;NA;AW;1;28;AW;NA;;2020;0,026885754
1191;414;1119;wally;23.lip.20;2020;AM;B6;B6-wally;APF;6,16E+14;F;27;NP;NA;R;2;0;20;NA;NA;JW;2;60;JW;NA;;2020;0,026885754
1192;414;1552;wally;08.sie.20;2020;AM;C7;C7-wally;APF;NA;F;30,5;NP;NA;R;3;0;13;;NA;MZ;4;56;MZ;NA;;2020;0,026885754
1193;414;2208;wally;26.sie.20;2020;AM;A8;A8-wally;APF;NA;F;31;NP;NA;R;4;10;6;NA;NA;MZ;5;50;MZ;NA;;2020;0,026885754
1194;415;585;wally;06.lip.20;2020;AM;C2;C2-wally;APF;9,68E+14;M;11;JUV;NA;NEW;1;3;1;NA;NA;AW;1;29;AW;NA;;2020;-0,492485346
1195;417;519;wally;05.lip.20;2020;AM;D7;D7-wally;APF;9,68E+14;F;18;NP;NO;NEW;1;2;13;NA;NA;AW;1;44;AW;NA;;2020;-0,017948714
1196;418;522;wally;05.lip.20;2020;AM;D2;D2-wally;APF;9,68E+14;M;18;NS;NA;NEW;1;0;31;NA;NA;AW;1;0;AW;NA;;2020;0,387466312
1197;419;1123;wally;23.lip.20;2020;AM;D7;D7-wally;APF;NA;F;18,5;NP;NA;R;1;0;15;NA;NA;JW;1;47;JW;NA;;2020;-0,065745443
1198;419;2213;wally;26.sie.20;2020;AM;B7;B7-wally;APF;NA;F;18,5;NA;NA;R;2;22;9;NA;NA;MZ;2;54;MZ;NA;;2020;-0,065745443
1199;420;499;wally;04.lip.20;2020;AM;D2;D2-wally;APF;9,68E+14;M;30;NA;NA;NEW;1;4;13;NA;NA;AW;1;32;AW;NA;;2020;-0,049638892
1200;421;493;wally;04.lip.20;2020;AM;A10;A10-wally;APF;9,68E+14;F;19;NP;NO;NEW;1;0;14;NA;NA;AW;1;59;AW;NA;;2020;0,006188963
1201;422;492;wally;04.lip.20;2020;AM;C3;C3-wally;APF;9,68E+14;F;33;L;YES;NEW;1;0;17;NA;NA;AW;1;38;AW;NA;;2020;0,163493363
