;eartag;X;date;day;year_time;time;plot;Abundance;trap;station;biomark;seed_number;seed_weight;PIT_tag;Sex;Sex2;Body_mass;reproductive_state;seed_status;intact;missing;partiallyeaten;eaten;cached;dispersal_distance;distance_cm;distance;perc_eaten;hidden;test;latency;cross;manipulator;bag_struggle;watched;dispersal_tree;distance_tree_cm;distance_tree;tree_diameter;tree_species;Notes;Exploration_rate
1246;X0015;3692;04.08.2020;48;2020;21:55:43;trojkat;19;E2;E2-trojkat;6;2;NA;9,00E+14;M;MS;42,5;S;CAR;0;0;0;0;1;3,1;310;3,1;0;leaves;YES;0;24;JW;0;JW;NA;NA;NA;NA;NA;;-0,031191457
1247;X0015;4568;07.09.2020;83;2020;22:53:34;trojkat;19;A5;A5-trojkat;5;3;4,011;9,00E+14;M;M;43;NS;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;24;JW;0;JW;NA;NA;NA;NA;NA;;-0,031191457
1248;X0015;4167;22.08.2020;67;2020;21:36:26;trojkat;43;B9;B9-trojkat;5;2;1,845;9,00E+14;M;MS;41;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;24;JW;0;JW;NA;NA;NA;NA;NA;;-0,031191457
1249;X0015;2770;30.06.2020;14;2020;01:41:32;trojkat;31;A6;A6-trojkat;5;5;NA;9,00E+14;M;MS;45;S;EAR;0;0;0;1;0;NA;333;3,33;100;NA;YES;0;24;JW;0;JW;NA;NA;NA;NA;NA;;-0,031191457
1250;X0015;3131;15.07.2020;29;2020;01:25:31;trojkat;22;D3;D3-trojkat;6;1;NA;9,00E+14;M;MS;41;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;24;JW;0;JW;NA;NA;NA;NA;NA;;-0,031191457
1251;X0015;3694;04.08.2020;48;2020;23:19:56;trojkat;19;E2;E2-trojkat;6;4;NA;9,00E+14;M;MS;42,5;S;CAR;0;0;1;0;1;3,79;379;3,79;5;NA;YES;0;24;JW;0;JW;NA;NA;NA;NA;NA;;-0,031191457
1252;X0015;2768;30.06.2020;14;2020;00:44:54;trojkat;31;A6;A6-trojkat;5;3;NA;9,00E+14;M;MS;45;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;24;JW;0;JW;NA;NA;NA;NA;NA;;-0,031191457
1253;X0015;4646;09.09.2020;85;2020;20:50:11;trojkat;19;B5;B5-trojkat;5;1;5,897;9,00E+14;M;MS;43;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;24;JW;0;JW;NA;NA;NA;NA;NA;;-0,031191457
1254;X0015;3691;04.08.2020;48;2020;01:01:55;trojkat;19;E2;E2-trojkat;6;1;NA;9,00E+14;M;MS;42,5;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;24;JW;0;JW;NA;NA;NA;NA;NA;;-0,031191457
1255;X0015;4206;23.08.2020;68;2020;21:22:29;trojkat;43;C4;C4-trojkat;5;1;3,257;9,00E+14;M;MS;41;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;24;JW;0;JW;NA;NA;NA;NA;NA;;-0,031191457
1256;X0103;3573;01.08.2020;46;2020;21:41:06;natura;62;F2;F2-natura;6;3;NA;9,68E+14;F;F;37;L;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;29;RZ;60;JW;NA;NA;NA;NA;NA;;0,394220966
1257;X0103;3503;30.07.2020;44;2020;02:10:02;natura;62;G2;G2-natura;8;3;NA;9,68E+14;F;F;33,5;P;EAR;0;0;0;1;0;NA;354;3,54;100;NA;YES;0;29;RZ;60;JW;NA;NA;NA;NA;NA;;0,394220966
1258;X0103;3971;17.08.2020;62;2020;23:55:09;natura;59;E3;E3-natura;6;1;3,037;9,68E+14;F;F;29,5;L;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;29;RZ;60;JW;NA;NA;NA;NA;NA;;0,394220966
1259;X0103;3572;01.08.2020;46;2020;21:30:09;natura;62;F2;F2-natura;6;2;NA;9,68E+14;F;F;37;L;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;29;RZ;60;JW;NA;NA;NA;NA;NA;;0,394220966
1260;X0103;3973;17.08.2020;62;2020;22:35:40;natura;59;E3;E3-natura;6;3;3,32;9,68E+14;F;F;29,5;L;EAR;0;0;0;1;0;NA;174;1,74;100;NA;YES;0;29;RZ;60;JW;NA;NA;NA;NA;NA;;0,394220966
1261;X018;3087;14.07.2020;28;2020;00:23:13;natura;57;E4;E4-natura;5;2;NA;9,00E+14;F;F;42;NP;EAR;0;0;0;1;0;NA;554;5,54;100;NA;YES;0;17;RZ;60;RZ;NA;NA;NA;NA;NA;;-0,273523327
1262;X018;3090;14.07.2020;28;2020;03:18:15;natura;57;E4;E4-natura;5;5;NA;9,00E+14;F;F;42;NP;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;17;RZ;60;RZ;NA;NA;NA;NA;NA;;-0,273523327
1263;X018;3088;14.07.2020;28;2020;02:15:40;natura;57;E4;E4-natura;5;3;NA;9,00E+14;F;F;42;NP;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;17;RZ;60;RZ;NA;NA;NA;NA;NA;;-0,273523327
1264;X018;2971;11.07.2020;25;2020;01:32:34;natura;57;D4;D4-natura;6;1;NA;9,00E+14;F;F;42;NP;EAR;0;0;0;1;0;NA;256;2,56;100;NA;YES;0;17;RZ;60;RZ;NA;NA;NA;NA;NA;;-0,273523327
1265;X018;3009;12.07.2020;26;2020;NA;natura;57;C4;C4-natura;5;4;NA;9,00E+14;F;F;42;NP;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;17;RZ;60;RZ;NA;NA;NA;NA;NA;;-0,273523327
1266;X018;3006;12.07.2020;26;2020;NA;natura;57;C4;C4-natura;5;1;NA;9,00E+14;F;F;42;NP;EAR;0;0;0;1;0;NA;386;3,86;100;NA;YES;0;17;RZ;60;RZ;NA;NA;NA;NA;NA;;-0,273523327
1267;X018;3449;29.07.2020;43;2020;23:16:34;natura;62;B4;B4-natura;5;4;NA;9,00E+14;F;F;42;NP;EAR;0;0;0;1;0;NA;866;8,66;100;NA;YES;0;17;RZ;60;RZ;NA;NA;NA;NA;NA;;-0,273523327
1268;X018;3008;12.07.2020;26;2020;NA;natura;57;C4;C4-natura;5;3;NA;9,00E+14;F;F;42;NP;EIS;0;0;0;1;0;NA;0;0;100;NA;YES;0;17;RZ;60;RZ;NA;NA;NA;NA;NA;;-0,273523327
1269;X018;4050;19.08.2020;64;2020;01:59:53;natura;59;D4;D4-natura;5;5;3,77;9,00E+14;F;F;42;NP;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;17;RZ;60;RZ;NA;NA;NA;NA;NA;;-0,273523327
1270;X018;2972;11.07.2020;25;2020;01:32:34;natura;57;D4;D4-natura;6;2;NA;9,00E+14;F;F;42;NP;EAR;0;0;0;1;0;NA;256;2,56;100;NA;YES;0;17;RZ;60;RZ;NA;NA;NA;NA;NA;;-0,273523327
1271;X0380;4473;05.09.2020;81;2020;20:32:42;karpaty;86;C9;C9-karpaty;2;3;5,632;9,68E+14;F;F;35;POST;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;28;JW;50;JW;NA;NA;NA;NA;NA;;0,093251834
1272;X0477;4142;21.08.2020;66;2020;23:22:58;trojkat;43;I6;I6-trojkat;8;2;2,978;9,00E+14;M;MS;43;S;EAR;0;0;0;1;0;NA;127;1,27;100;NA;YES;0;4;JW;13;JW;NA;NA;NA;NA;NA;;-0,540856142
